id,workload,repr,chunk,elem,retained,n,base,appended,blocks,forks,depth,keep_all,region,lv_pos,batch,ops_per_sample,nsamples,median_ns,p95_ns,min_ns,median2_ns,p95_2_ns,allocs_op,bytes_op,zcopies_op,zmoves_op,addref_op,blk_addref_op,branches_op,mem_start,mem_build,mem_peak,mem_end,checksum,balance_ok,vgroup,extra
1,vcreate,C,64,int,0,,64,,1,,,0,,,898,898,15,14.894,14.987,14.847,14.337,14.755,4,1120,1,0,0,1,1,474376,0,1716240,474376,0000000000000000,1,,
2,linear,C,32,int,0,4096,,,,,,0,,,1,4096,15,2.706,2.726,2.686,,,0.0332,16.76,1,0,0,0,0,474328,622864,622864,474328,e1afe464a1eeb2fb,1,lin-dead-int-4096,
3,base_append,C,128,string,0,,100,64,,,,0,,,1027,65728,15,2.77,2.824,2.754,,,0.0625,33.5,1,0,1,0,0,474424,3217664,3217664,474424,a23575fb359b72cb,1,ba-string-100-64,
4,base_append,C,16,int,0,,1000,16,,,,0,,,600,9600,15,2.865,2.947,2.817,,,0.25,22,1,0,0,0,0,474392,760184,760184,474392,cc89482edb8ba160,1,ba-int-1000-16,
5,base_append,B,0,string,0,,1000,1,,,,0,,,200,200,15,756.04,1193.335,745,,,1,16400,1001,0,1001,0,0,474424,4645024,4645024,474424,aa77e5bc29801f9b,1,ba-string-1000-1,
6,destroy,A,0,int,1,2048,,,,,,0,,,1,2048,6,1097.453,1109.457,1093.119,,,0,0,0,0,0,0,0,474408,37844944,37844944,474408,0000000000000000,1,,
7,base_append,A,0,string,0,,1000,32,,,,0,,,5,160,15,1527.606,1546.356,1526.044,,,1,16272,1016.5,0,1016.5,0,0,474424,655008,675488,474424,cbb30a3ef264de0b,1,ba-string-1000-32,
8,base_append,B,0,int,0,,10000,1,,,,0,,,22,22,15,10007.591,10403.409,9742.409,,,1,262160,10001,0,0,0,0,474392,6659544,6659544,474392,a1b6c487627f1a40,1,ba-int-10000-1,
9,linear,B,0,array,0,16384,,,,,,0,,,1,16384,15,2.502,2.523,2.449,,,0.0009,32.01,1,0.9998,1,0,0,474328,5197016,5332184,474328,a0a527edbf76c633,1,lin-dead-array-16384,
10,destroy,C,128,int,0,16384,,,,,,0,,,1,16384,8,1.038,1.045,1.03,,,0,0,0,0,0,0,0,474408,1065312,1065312,474408,0000000000000000,1,,
